station_id,coordinates
0505W,"(35.64, -86.975)"
0621W,"(34.852, -84.338)"
0678W,"(36.985, -86.459)"
0679W,"(36.144, -86.809)"
0682W,"(36.966, -86.472)"
0683W,"(36.986, -86.45)"
1333W,"(36.663, -87.177)"
BLDT1,"(35.682, -85.273)"
BOCT1,"(35.156, -84.595)"
BSFT1,"(36.475, -84.654)"
BURT1,"(36.065, -87.283)"
CCKT1,"(35.381, -84.123)"
CDSK2,"(37.132, -86.148)"
CHFT1,"(35.371, -88.829)"
CMDT1,"(36.066, -88.169)"
COHG1,"(34.923, -84.659)"
CPMG1,"(34.609, -84.131)"
CSST1,"(35.918, -84.997)"
CTDAL,"(34.66, -87.35)"
DLOT1,"(35.248, -84.581)"
DSFI2,"(37.437, -88.667)"
EJAG1,"(34.766, -84.759)"
FCRT1,"(36.626, -87.537)"
GA318,"(34.928, -85.153)"
GA320,"(34.869, -85.516)"
GA321,"(34.873, -84.323)"
GA325,"(34.685, -84.473)"
GA341,"(34.692, -85.003)"
GFSK2,"(37.273, -87.202)"
GNDT1,"(36.161, -88.8)"
K1M5,"(36.6, -86.48)"
K2I0,"(37.35, -87.4)"
K2M2,"(35.234, -87.258)"
K5M9,"(37.33, -88.12)"
KFYM,"(35.07, -86.57)"
KHZD,"(36.09, -88.46)"
KM02,"(36.128, -87.43)"
KM25,"(36.76, -88.58)"
KM54,"(36.19, -86.316)"
KM91,"(36.53, -86.91)"
KMMI,"(35.4, -84.57)"
KPVE,"(35.65, -88.2)"
KRNC,"(35.7, -85.85)"
KRZR,"(35.22, -84.8)"
KSCX,"(36.456, -84.586)"
KSNH,"(35.15, -88.22)"
KSYI,"(35.56, -86.44)"
KSZY,"(35.2, -88.5)"
KXNX,"(36.375, -86.408)"
KY011,"(37.147, -88.4)"
KY012,"(37.059, -88.222)"
KY013,"(36.547, -88.842)"
KY021,"(36.682, -87.405)"
KY024,"(37.213, -87.435)"
KY080,"(36.997, -84.608)"
KY110,"(36.978, -84.111)"
KY111,"(36.618, -84.106)"
KY112,"(37.146, -84.11)"
LBLK2,"(36.776, -88.063)"
LCLT1,"(35.844, -84.332)"
LCXA1,"(34.66, -87.346)"
LFFT1,"(36.541, -86.003)"
LSBT1,"(35.382, -86.766)"
MERT1,"(35.502, -87.458)"
MVWK2,"(36.727, -84.572)"
NAOG1,"(34.695, -85.174)"
PCFT1,"(35.13, -85.428)"
SCIK2,"(37.179, -84.626)"
SCXA1,"(34.694, -86.0)"
SHOT1,"(35.155, -88.322)"
SOMK2,"(37.053, -84.614)"
STHT1,"(36.513, -87.951)"
T45BX,"(37.016, -88.646)"
T47AX,"(36.988, -87.105)"
T50AX,"(37.02, -84.838)"
TCCG1,"(34.765, -84.074)"
TISM6,"(34.778, -88.165)"
TR889,"(36.796, -85.38)"
TS796,"(37.301, -88.626)"
TSQN7,"(35.075, -84.127)"
TT397,"(34.741, -86.435)"
TT542,"(36.535, -84.81)"
TT543,"(35.321, -86.034)"
V48AX,"(35.74, -86.822)"
VHXA1,"(34.565, -85.617)"
W50AX,"(35.2, -85.312)"
WCYK2,"(36.725, -84.468)"
X51AX,"(34.566, -84.857)"
